"RECALL_NUMBER_NUM","YEAR","MANUFACTURER_RECALL_NO_TXT","CATEGORY_ETXT","CATEGORY_FTXT","MAKE_NAME_NM","MODEL_NAME_NM","UNIT_AFFECTED_NBR","SYSTEM_TYPE_ETXT","SYSTEM_TYPE_FTXT","NOTIFICATION_TYPE_ETXT","NOTIFICATION_TYPE_FTXT","COMMENT_ETXT","COMMENT_FTXT","RECALL_DATE_DTE","LAST_UPDATE_DATE","MANUFACTURER_NAME_NM"
"2014299",2000,,"Car","Voiture","BMW","3 SERIES","40,915.00","Airbag","Coussin gonflable","Safety Mfr","Sécurité - fabricant","On certain vehicles, the passenger (frontal) airbag inflator could produce excessive internal pressure during airbag deployment.  Increased pressure may cause the inflator to rupture, which could allow fragments to be propelled toward vehicle occupants, increasing the risk of injury.  This could also damage the airbag module, which could prevent proper deployment during a crash where deployment is warranted, increasing the risk of personal injury to the seat occupant. Correction: Dealers will replace the passenger airbag. Note: This is an expansion of recall 2013148.","Sur certains véhicules, le générateur de gaz de coussin gonflable (avant) du passager pourrait produire une pression interne excessive pendant le déploiement du coussin. Une pression accrue pourrait causer une cassure du générateur de gaz, ce qui pourrait permettre la projection de fragments vers les occupants du véhicule et ainsi augmenter le risque de blessures. Cela pourrait aussi endommager le module du coussin gonflable, ce qui pourrait empêcher le déploiement adéquat de ce dernier lors d'une collision où son déploiement est justifié et ainsi augmenter le risque de blessures pour la personne assise sur le siège. Cette défaillance pourrait aussi causer un incendie qui pourrait entraîner des blessures ou des dommages matériels (ou les deux). Correction : Les concessionnaires devront remplacer le coussin gonflable du passager avant. Remarque : Le présent rappel est un prolongement du rappel 2013148.","2014-07-16","2023-01-09","BMW"
"2014299",2001,,"Car","Voiture","BMW","3 SERIES","40,915.00","Airbag","Coussin gonflable","Safety Mfr","Sécurité - fabricant","On certain vehicles, the passenger (frontal) airbag inflator could produce excessive internal pressure during airbag deployment.  Increased pressure may cause the inflator to rupture, which could allow fragments to be propelled toward vehicle occupants, increasing the risk of injury.  This could also damage the airbag module, which could prevent proper deployment during a crash where deployment is warranted, increasing the risk of personal injury to the seat occupant. Correction: Dealers will replace the passenger airbag. Note: This is an expansion of recall 2013148.","Sur certains véhicules, le générateur de gaz de coussin gonflable (avant) du passager pourrait produire une pression interne excessive pendant le déploiement du coussin. Une pression accrue pourrait causer une cassure du générateur de gaz, ce qui pourrait permettre la projection de fragments vers les occupants du véhicule et ainsi augmenter le risque de blessures. Cela pourrait aussi endommager le module du coussin gonflable, ce qui pourrait empêcher le déploiement adéquat de ce dernier lors d'une collision où son déploiement est justifié et ainsi augmenter le risque de blessures pour la personne assise sur le siège. Cette défaillance pourrait aussi causer un incendie qui pourrait entraîner des blessures ou des dommages matériels (ou les deux). Correction : Les concessionnaires devront remplacer le coussin gonflable du passager avant. Remarque : Le présent rappel est un prolongement du rappel 2013148.","2014-07-16","2023-01-09","BMW"
"2014299",2002,,"Car","Voiture","BMW","3 SERIES","40,915.00","Airbag","Coussin gonflable","Safety Mfr","Sécurité - fabricant","On certain vehicles, the passenger (frontal) airbag inflator could produce excessive internal pressure during airbag deployment.  Increased pressure may cause the inflator to rupture, which could allow fragments to be propelled toward vehicle occupants, increasing the risk of injury.  This could also damage the airbag module, which could prevent proper deployment during a crash where deployment is warranted, increasing the risk of personal injury to the seat occupant. Correction: Dealers will replace the passenger airbag. Note: This is an expansion of recall 2013148.","Sur certains véhicules, le générateur de gaz de coussin gonflable (avant) du passager pourrait produire une pression interne excessive pendant le déploiement du coussin. Une pression accrue pourrait causer une cassure du générateur de gaz, ce qui pourrait permettre la projection de fragments vers les occupants du véhicule et ainsi augmenter le risque de blessures. Cela pourrait aussi endommager le module du coussin gonflable, ce qui pourrait empêcher le déploiement adéquat de ce dernier lors d'une collision où son déploiement est justifié et ainsi augmenter le risque de blessures pour la personne assise sur le siège. Cette défaillance pourrait aussi causer un incendie qui pourrait entraîner des blessures ou des dommages matériels (ou les deux). Correction : Les concessionnaires devront remplacer le coussin gonflable du passager avant. Remarque : Le présent rappel est un prolongement du rappel 2013148.","2014-07-16","2023-01-09","BMW"
"2014299",2003,,"Car","Voiture","BMW","3 SERIES","40,915.00","Airbag","Coussin gonflable","Safety Mfr","Sécurité - fabricant","On certain vehicles, the passenger (frontal) airbag inflator could produce excessive internal pressure during airbag deployment.  Increased pressure may cause the inflator to rupture, which could allow fragments to be propelled toward vehicle occupants, increasing the risk of injury.  This could also damage the airbag module, which could prevent proper deployment during a crash where deployment is warranted, increasing the risk of personal injury to the seat occupant. Correction: Dealers will replace the passenger airbag. Note: This is an expansion of recall 2013148.","Sur certains véhicules, le générateur de gaz de coussin gonflable (avant) du passager pourrait produire une pression interne excessive pendant le déploiement du coussin. Une pression accrue pourrait causer une cassure du générateur de gaz, ce qui pourrait permettre la projection de fragments vers les occupants du véhicule et ainsi augmenter le risque de blessures. Cela pourrait aussi endommager le module du coussin gonflable, ce qui pourrait empêcher le déploiement adéquat de ce dernier lors d'une collision où son déploiement est justifié et ainsi augmenter le risque de blessures pour la personne assise sur le siège. Cette défaillance pourrait aussi causer un incendie qui pourrait entraîner des blessures ou des dommages matériels (ou les deux). Correction : Les concessionnaires devront remplacer le coussin gonflable du passager avant. Remarque : Le présent rappel est un prolongement du rappel 2013148.","2014-07-16","2023-01-09","BMW"
"2014299",2004,,"Car","Voiture","BMW","3 SERIES","40,915.00","Airbag","Coussin gonflable","Safety Mfr","Sécurité - fabricant","On certain vehicles, the passenger (frontal) airbag inflator could produce excessive internal pressure during airbag deployment.  Increased pressure may cause the inflator to rupture, which could allow fragments to be propelled toward vehicle occupants, increasing the risk of injury.  This could also damage the airbag module, which could prevent proper deployment during a crash where deployment is warranted, increasing the risk of personal injury to the seat occupant. Correction: Dealers will replace the passenger airbag. Note: This is an expansion of recall 2013148.","Sur certains véhicules, le générateur de gaz de coussin gonflable (avant) du passager pourrait produire une pression interne excessive pendant le déploiement du coussin. Une pression accrue pourrait causer une cassure du générateur de gaz, ce qui pourrait permettre la projection de fragments vers les occupants du véhicule et ainsi augmenter le risque de blessures. Cela pourrait aussi endommager le module du coussin gonflable, ce qui pourrait empêcher le déploiement adéquat de ce dernier lors d'une collision où son déploiement est justifié et ainsi augmenter le risque de blessures pour la personne assise sur le siège. Cette défaillance pourrait aussi causer un incendie qui pourrait entraîner des blessures ou des dommages matériels (ou les deux). Correction : Les concessionnaires devront remplacer le coussin gonflable du passager avant. Remarque : Le présent rappel est un prolongement du rappel 2013148.","2014-07-16","2023-01-09","BMW"
"2014299",2005,,"Car","Voiture","BMW","3 SERIES","40,915.00","Airbag","Coussin gonflable","Safety Mfr","Sécurité - fabricant","On certain vehicles, the passenger (frontal) airbag inflator could produce excessive internal pressure during airbag deployment.  Increased pressure may cause the inflator to rupture, which could allow fragments to be propelled toward vehicle occupants, increasing the risk of injury.  This could also damage the airbag module, which could prevent proper deployment during a crash where deployment is warranted, increasing the risk of personal injury to the seat occupant. Correction: Dealers will replace the passenger airbag. Note: This is an expansion of recall 2013148.","Sur certains véhicules, le générateur de gaz de coussin gonflable (avant) du passager pourrait produire une pression interne excessive pendant le déploiement du coussin. Une pression accrue pourrait causer une cassure du générateur de gaz, ce qui pourrait permettre la projection de fragments vers les occupants du véhicule et ainsi augmenter le risque de blessures. Cela pourrait aussi endommager le module du coussin gonflable, ce qui pourrait empêcher le déploiement adéquat de ce dernier lors d'une collision où son déploiement est justifié et ainsi augmenter le risque de blessures pour la personne assise sur le siège. Cette défaillance pourrait aussi causer un incendie qui pourrait entraîner des blessures ou des dommages matériels (ou les deux). Correction : Les concessionnaires devront remplacer le coussin gonflable du passager avant. Remarque : Le présent rappel est un prolongement du rappel 2013148.","2014-07-16","2023-01-09","BMW"
"2014299",2006,,"Car","Voiture","BMW","3 SERIES","40,915.00","Airbag","Coussin gonflable","Safety Mfr","Sécurité - fabricant","On certain vehicles, the passenger (frontal) airbag inflator could produce excessive internal pressure during airbag deployment.  Increased pressure may cause the inflator to rupture, which could allow fragments to be propelled toward vehicle occupants, increasing the risk of injury.  This could also damage the airbag module, which could prevent proper deployment during a crash where deployment is warranted, increasing the risk of personal injury to the seat occupant. Correction: Dealers will replace the passenger airbag. Note: This is an expansion of recall 2013148.","Sur certains véhicules, le générateur de gaz de coussin gonflable (avant) du passager pourrait produire une pression interne excessive pendant le déploiement du coussin. Une pression accrue pourrait causer une cassure du générateur de gaz, ce qui pourrait permettre la projection de fragments vers les occupants du véhicule et ainsi augmenter le risque de blessures. Cela pourrait aussi endommager le module du coussin gonflable, ce qui pourrait empêcher le déploiement adéquat de ce dernier lors d'une collision où son déploiement est justifié et ainsi augmenter le risque de blessures pour la personne assise sur le siège. Cette défaillance pourrait aussi causer un incendie qui pourrait entraîner des blessures ou des dommages matériels (ou les deux). Correction : Les concessionnaires devront remplacer le coussin gonflable du passager avant. Remarque : Le présent rappel est un prolongement du rappel 2013148.","2014-07-16","2023-01-09","BMW"
"2015230",2002,,"Car","Voiture","BMW","5 SERIES","30,668.00","Airbag","Coussin gonflable","Safety Mfr","Sécurité - fabricant","On certain vehicles, the driver frontal airbag inflator could produce excessive internal pressure during airbag deployment. Increased pressure may cause the inflator to rupture, which could allow fragments to be propelled toward vehicle occupants, increasing the risk of injury. This could also damage the airbag module, which could prevent proper deployment. Failure of the airbag to fully deploy during a crash (where deployment is warranted) could increase the risk of personal injury to the seat occupant. Note: This recall supersedes special service campaign 2014-587. Correction: Dealers will replace the airbag module.","Sur certains véhicules, le dispositif de gonflement du coussin gonflable frontal du conducteur pourrait produire une pression interne excessive pendant le gonflement du coussin gonflable. Une pression plus grande que la normale pourrait faire en sorte que le dispositif de gonflement se brise, ce qui pourrait permettre à des fragments d'être propulsés vers les occupants du véhicule, ce qui augmenterait les risques de blessures. Cela pourrait aussi endommager le module de coussin gonflable, ce qui pourrait empêcher un déploiement adéquat. Si le coussin gonflable ne se déployait pas entièrement lors d'un accident où son déploiement est nécessaire, cela pourrait augmenter les risques de blessures pour la personne assise sur le siège. Remarque : Le présent rappel remplace la campagne d'amélioration de la sécurité 2014-587. Les concessionnaires replaceront le coussin gonflable.","2015-05-27","2023-01-10","BMW"
"2015230",2002,,"Car","Voiture","BMW","3 SERIES","30,668.00","Airbag","Coussin gonflable","Safety Mfr","Sécurité - fabricant","On certain vehicles, the driver frontal airbag inflator could produce excessive internal pressure during airbag deployment. Increased pressure may cause the inflator to rupture, which could allow fragments to be propelled toward vehicle occupants, increasing the risk of injury. This could also damage the airbag module, which could prevent proper deployment. Failure of the airbag to fully deploy during a crash (where deployment is warranted) could increase the risk of personal injury to the seat occupant. Note: This recall supersedes special service campaign 2014-587. Correction: Dealers will replace the airbag module.","Sur certains véhicules, le dispositif de gonflement du coussin gonflable frontal du conducteur pourrait produire une pression interne excessive pendant le gonflement du coussin gonflable. Une pression plus grande que la normale pourrait faire en sorte que le dispositif de gonflement se brise, ce qui pourrait permettre à des fragments d'être propulsés vers les occupants du véhicule, ce qui augmenterait les risques de blessures. Cela pourrait aussi endommager le module de coussin gonflable, ce qui pourrait empêcher un déploiement adéquat. Si le coussin gonflable ne se déployait pas entièrement lors d'un accident où son déploiement est nécessaire, cela pourrait augmenter les risques de blessures pour la personne assise sur le siège. Remarque : Le présent rappel remplace la campagne d'amélioration de la sécurité 2014-587. Les concessionnaires replaceront le coussin gonflable.","2015-05-27","2023-01-10","BMW"
"2015230",2002,,"SUV","Véhicule utilitaire-sport","BMW","5 SERIES","30,668.00","Airbag","Coussin gonflable","Safety Mfr","Sécurité - fabricant","On certain vehicles, the driver frontal airbag inflator could produce excessive internal pressure during airbag deployment. Increased pressure may cause the inflator to rupture, which could allow fragments to be propelled toward vehicle occupants, increasing the risk of injury. This could also damage the airbag module, which could prevent proper deployment. Failure of the airbag to fully deploy during a crash (where deployment is warranted) could increase the risk of personal injury to the seat occupant. Note: This recall supersedes special service campaign 2014-587. Correction: Dealers will replace the airbag module.","Sur certains véhicules, le dispositif de gonflement du coussin gonflable frontal du conducteur pourrait produire une pression interne excessive pendant le gonflement du coussin gonflable. Une pression plus grande que la normale pourrait faire en sorte que le dispositif de gonflement se brise, ce qui pourrait permettre à des fragments d'être propulsés vers les occupants du véhicule, ce qui augmenterait les risques de blessures. Cela pourrait aussi endommager le module de coussin gonflable, ce qui pourrait empêcher un déploiement adéquat. Si le coussin gonflable ne se déployait pas entièrement lors d'un accident où son déploiement est nécessaire, cela pourrait augmenter les risques de blessures pour la personne assise sur le siège. Remarque : Le présent rappel remplace la campagne d'amélioration de la sécurité 2014-587. Les concessionnaires replaceront le coussin gonflable.","2015-05-27","2023-01-10","BMW"
